name,speciality,rating,delivery_time,pricing,offer,conditions
Arthur's Theme,"Italian, European",3.8,31 MINS,Rs. 800 FOR TWO, , 
Bowl Eat up,"North Indian, Oriental",4.3,55 MINS,Rs. 300 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Baba Biryani,"Biryani, Indian, Chinese",3.7,41 MINS,Rs. 250 FOR TWO, ,Rs. 10 distance fee applicable
Noodle Canteen,"Chinese, Asian, Thai, Vietnamese",4.1,39 MINS,Rs. 500 FOR TWO,30% off | Use coupon SWIGGYIT, 
Cafe Milano,"Italian, Fast Food",4.3,41 MINS,Rs. 200 FOR TWO,20% off on all orders,Rs. 10 distance fee applicable
KaatiZone Rolls & Wraps,"Fast Food, Beverages, Bengali, Biryani, Indian, North Indian, Snacks, Street Foo...",4.5,47 MINS,Rs. 150 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Boon Bay,"Indian, Fast Food, Street Food, Beverages, North Indian, Desserts, Snacks",4.6,51 MINS,Rs. 150 FOR TWO,20% off on orders above Rs. 150,Rs. 30 distance fee applicable
Charminar Hyderabadi Biryani House,Biryani,3.7,47 MINS,Rs. 200 FOR TWO,10% off on orders above Rs. 99,Rs. 30 distance fee applicable
McCafe by McDonald's,"Cafe, Beverages, Desserts",--,38 MINS,Rs. 250 FOR TWO, , 
Hyderabad Biryaani House,"North Indian, Chinese, Biryani",3.6,47 MINS,Rs. 500 FOR TWO,10% off on orders above Rs. 99,Rs. 30 distance fee applicable
Gourmet Men,"Continental, Italian, Fast Food, Desserts, Beverages",3.7,43 MINS,Rs. 500 FOR TWO,15% off on all orders,Rs. 30 distance fee applicable
The Chinese Culture,"Chinese, Malaysian",3.9,45 MINS,Rs. 150 FOR TWO,50% off on all orders,Rs. 10 distance fee applicable
Burger It Up,"American, Beverages, Continental, Desserts, Snacks, Fast Food",4.1,47 MINS,Rs. 275 FOR TWO,20% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Bowl Eat Up,"North Indian, Oriental",3.9,49 MINS,Rs. 300 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 30 distance fee applicable
Malaka Spice,"Malaysian, Thai, Korean, Japanese, Asian, Vietnamese, Salads",4.1,32 MINS,Rs. 800 FOR TWO,30% off | Use coupon SWIGGYIT, 
Punjabi Dhaba,Thalis,3.9,52 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
City Burger And More,"Fast Food, Beverages",4.1,52 MINS,Rs. 200 FOR TWO,20% off on orders above Rs. 99,Rs. 30 distance fee applicable
